stnId,stnNm,year,week,avg_temp,min_temp,max_temp,temp_range,total_rain,rain_days,cold_stress_days,warm_days,obs_days,cum_temp_ytd,avg_temp_clim,temp_anomaly
263,의령군,2025,31,27.214285714285715,19.2,35.9,2.8999999999999986,46.6,1,0,7,7,414.4840476190476,28.93809523809524,-1.7238095238095248
263,의령군,2025,32,25.985714285714288,19.0,32.1,5.0,136.4,4,0,7,7,440.4697619047619,27.68095238095238,-1.6952380952380928
263,의령군,2025,33,25.8,19.0,34.3,6.399999999999999,56.8,3,0,7,7,466.26976190476194,27.43809523809524,-1.6380952380952394
263,의령군,2025,34,28.071428571428573,22.3,35.2,1.1000000000000014,0.0,0,0,7,7,494.3411904761905,28.212698412698415,-0.14126984126984254
263,의령군,2025,35,27.514285714285712,21.2,35.7,2.6999999999999993,0.8,0,0,7,7,521.8554761904762,27.209523809523812,0.3047619047619001
263,의령군,2025,36,26.285714285714285,21.1,32.8,1.1000000000000014,22.2,2,0,7,7,548.1411904761904,25.966666666666665,0.3190476190476197
263,의령군,2025,37,23.099999999999998,16.8,30.7,6.0,47.599999999999994,2,0,7,7,571.2411904761905,25.45238095238095,-2.352380952380951
263,의령군,2025,38,22.74285714285714,14.2,32.1,6.800000000000001,9.5,2,0,7,7,593.9840476190476,24.195238095238096,-1.452380952380956
263,의령군,2025,39,21.642857142857142,14.3,29.0,3.5,19.3,3,0,7,7,615.6269047619048,21.8,-0.15714285714285836
263,의령군,2025,40,19.785714285714285,14.4,27.2,5.199999999999999,47.1,3,0,7,7,635.412619047619,18.257142857142856,1.5285714285714285
263,의령군,2025,41,19.857142857142858,12.4,29.1,2.3000000000000007,14.0,2,0,7,7,655.2697619047619,17.91111111111111,1.9460317460317462
263,의령군,2025,42,18.614285714285717,13.5,23.8,3.1999999999999993,57.4,2,0,7,7,673.8840476190476,16.985714285714284,1.6285714285714334
263,의령군,2025,43,14.171428571428573,8.0,22.4,1.8000000000000007,0.0,0,0,7,7,688.0554761904762,14.304761904761904,-0.13333333333333108
263,의령군,2025,44,8.642857142857142,-1.4,19.9,5.500000000000001,0.4,0,0,1,7,696.6983333333334,13.495238095238095,-4.852380952380953
263,의령군,2025,45,9.885714285714286,-1.6,20.5,6.5,19.200000000000003,2,0,3,7,706.5840476190476,10.676190476190476,-0.7904761904761894
263,의령군,2025,46,6.971428571428571,-1.3,20.1,2.9000000000000004,0.0,0,0,0,7,713.5554761904762,8.576190476190476,-1.6047619047619053
263,의령군,2025,47,4.714285714285714,-3.7,16.5,4.300000000000001,0.0,0,0,0,7,718.2697619047619,5.895238095238095,-1.1809523809523803
263,의령군,2025,48,5.7,-5.8,19.0,6.799999999999999,0.5,0,0,0,7,723.9697619047619,5.595238095238095,0.10476190476190528
263,의령군,2025,49,1.4285714285714286,-9.4,15.3,7.8,0.0,0,0,0,7,725.3983333333333,4.704761904761905,-3.276190476190476
263,의령군,2025,50,2.3857142857142857,-8.2,16.7,6.0,7.3,1,0,0,7,727.7840476190477,3.961904761904762,-1.5761904761904764
263,의령군,2025,51,2.1714285714285713,-7.7,12.9,5.7,0.2,0,0,0,7,729.9554761904762,0.1714285714285714,1.9999999999999998
263,의령군,2025,52,-0.6285714285714287,-10.8,11.0,10.3,3.9,1,0,0,7,729.3269047619048,0.775,-1.4035714285714287
263,의령군,2026,1,-3.9749999999999996,-12.7,10.0,5.3999999999999995,0.0,0,0,0,4,-3.9749999999999996,-0.26250000000000007,-3.7124999999999995
263,의령군,2026,2,-1.2571428571428573,-12.5,12.0,9.7,0.0,0,0,0,7,-5.232142857142857,0.8249999999999997,-2.0821428571428573
263,의령군,2026,3,1.7571428571428573,-12.2,17.7,11.600000000000001,0.4,0,0,0,7,-3.4749999999999996,1.4392857142857145,0.31785714285714284
263,의령군,2026,4,-3.1285714285714286,-12.7,6.8,8.0,0.0,0,0,0,7,-6.603571428571428,-1.4535714285714283,-1.6750000000000003
263,의령군,2026,5,-2.685714285714286,-11.9,6.8,2.7,0.0,0,0,0,7,-9.289285714285715,1.2607142857142857,-3.9464285714285716
263,의령군,2026,6,-0.6,-11.9,14.6,8.899999999999999,0.0,0,0,0,7,-9.889285714285714,0.7285714285714285,-1.3285714285714285
263,의령군,2026,7,1.6714285714285713,-12.1,18.2,8.5,0.0,0,0,0,7,-8.217857142857143,3.7249999999999996,-2.0535714285714284
263,의령군,2026,8,4.742857142857143,-8.6,20.8,7.5,0.0,0,0,1,7,-3.4749999999999996,4.032857142857143,0.71
263,의령군,2026,9,5.7,-4.8,13.6,6.9,31.0,2,0,0,7,2.2250000000000005,5.267857142857142,0.43214285714285783
263,의령군,2026,10,4.771428571428571,-7.4,13.5,6.0,25.599999999999998,2,7,0,7,6.996428571428572,7.05,-2.2785714285714285
263,의령군,2026,11,3.8000000000000003,-6.0,14.3,4.0,0.0,0,7,0,7,10.796428571428573,7.803571428571428,-4.003571428571428
263,의령군,2026,12,7.628571428571428,-2.8,18.4,1.799999999999999,5.2,1,7,0,7,18.425,9.645238095238096,-2.0166666666666675
263,의령군,2026,13,11.414285714285715,-1.8,23.8,4.4,0.0,0,5,5,7,29.839285714285715,11.932142857142857,-0.5178571428571423
263,의령군,2026,14,12.257142857142856,3.3,23.0,2.4000000000000004,75.60000000000001,4,0,7,7,42.096428571428575,12.2,0.05714285714285694
263,의령군,2026,15,10.3,0.3,19.1,4.799999999999999,2.0,1,0,1,2,52.39642857142857,13.285714285714286,-2.9857142857142858
266,광양시,2023,1,3.0,-3.9,12.2,3.6,2.6,1,0,0,7,3.0,3.005208333333333,-0.005208333333333037
266,광양시,2023,2,8.571428571428571,-1.1,20.9,12.4,82.1,3,0,2,7,11.571428571428571,3.35,5.2214285714285715
